Suite,Sample_ID,Pluton,Latitude,Longitude,Data source,Age (Ma),Error 2S,System,Method,Mineral,Data source:
EHKCalcAlk,Acari,Acari Pluton,-6.4375,-36.6303,2,572,10,U-Pb,SHRIMP,Zircon,"1 Araújo Silva, M., Galindo, A.C., Souza, R.F., Cavalcante, R., Medeiros, V.C. (2019). O Stock Serra da Acauã: Um exemplo de granito tipo I fracionado oxidado no Domínio Rio Piranhas–Seridó, NE do Brasil. Geologia USP – Série Científica 19, 31–53. https://doi.org/10.11606/issn.2316-9095.v19-147324"
PHKCalcAlk,Acari,Acari Pluton,-6.4375,-36.6303,2,577,9,U-Pb,SHRIMP,Zircon,"2 Archanjo, C.J., Viegas, L.G., Hollanda, M.H.B., Souza, L.C., Liu, D. (2013). Timing of the HT/LP transpression in the Neoproterozoic Seridó Belt (Borborema Province, Brazil): Constraints from U–Pb (SHRIMP) geochronology and implications for the connections between NE Brazil and West Africa. Gondwana Research 23, 701–714."
PHKCalcAlk,RC-1177A,Acauã Pluton,-6.3704,-36.5472,1,577,3,U-Pb,SHRIMP,Zircon,"3 Tavares, C.F., Hollanda, M.H.B. (2024). Titanite: A source, thermodynamic, and temporal proxy for W–Mo–Cu skarn mineralization at the Seridó Mineral Province, northeastern Brazil. Journal of South American Earth Sciences 148, 105135."
PHKCalcAlk,RC-1176A,Acauã Pluton,-6.3704,-36.5472,1,580,3,U-Pb,SHRIMP,Zircon,"4 Costa, A.P. (2015). Petrology and U-Pb geochronology of the Serra da Rajada granitic pluton, central Rio Piranhas–Seridó Domain, Borborema Province, NE Brazil. MSc thesis, Federal University of Rio Grande do Norte, Natal, Brazil, 78 pp."
EHKCalcAlk,Angicos,Angicos Pluton,-5.794652,-36.605907,8,577,5,U-Pb,SHRIMP,Zircon,"5 Fonseca, G.A., Galindo, A.C., Medeiros, V.C., Sá, J.M., Vilalva, F.C.J., Dantas, E.L. (2022). Geologia e geoquímica do stock Serra do Capuxu: Magmatismo cálcio-alcalino de alto-K no Domínio Rio Piranhas–Seridó, Província Borborema. Estudos Geológicos 32, 77–108."
EHKCalcAlk,GF-04,Capuxu Pluton,-6.859,-37.05,5,579,6.9,U-Pb,LA-ICP-MS,Zircon,"6 Guimarães, I.P., Silva Filho, A.F., Araújo, D.B., Almeida, C.N., Dantas, E.L. (2009). Trans-alkaline magmatism in the Serrinha–Pedro Velho Complex, Borborema Province, NE Brazil, and its correlations with magmatism in eastern Nigeria. Gondwana Research 15, 98–110."
Shos,Cardoso,Cardoso Pluton,-6.859,-37.05,7,595,3,U-Pb,SHRIMP,Zircon,"7 Hollanda, M.H.B., Archanjo, C.J., Bautista, J.R., Souza, L.C. (2015). Detrital zircon ages and Nd isotope compositions of the Seridó and Lavras da Mangabeira basins (Borborema Province, NE Brazil): Evidence for exhumation and recycling associated with a major shift in sedimentary provenance. Precambrian Research 258, 186–207."
PHKCalcAlk,Catolé do Rocha,Catolé do Rocha Pluton,-6.379,-37.709,14,571,3,U-Pb,LA-ICP-MS,Zircon,"8 Hollanda, M.H.B., Souza Neto, J.A., Archanjo, C.J., Stein, H., Maia, A.C. (2017). Age of the granitic magmatism and the W–Mo mineralization in skarns of the Seridó Belt (NE Brazil) based on zircon U–Pb (SHRIMP) and molybdenite Re–Os dating. Journal of South American Earth Sciences 79, 1–11."
EHKCalcAlk,Cerro Corá,Cerro Corá Pluton,-6.0419,-36.3384,8,527,8,U-Pb,SHRIMP,Zircon,"9 Jardim de Sá, E.F. (1994). The Seridó Belt (Borborema Province, NE Brazil) and its geodynamic significance in the Brasiliano/Pan-African orogeny. PhD thesis, University of Brasília, Brasília, Brazil, 803 pp."
EHKCalcAlk,D3,Cerro Corá Pluton,-6.0419,-36.3384,18,560,6,U-Pb,LA-ICP-MS,Zircon,"10 Leterrier, J., Jardim de Sá, E., Bertrand, J.M., Pin, C. (1994). Ages U–Pb sur zircon de granitoïdes brasilianos de la ceinture de Seridó (Province Borborema, NE Brésil). Comptes Rendus de l’Académie des Sciences, Série II 318, 1505–1511."
