Suite,Sample,Pluton,Author,SiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,Loi+,H2O,Total,Cr,Ni,Co,Sc,V,Cu,Pb,Zn,Cd,Sn,W,Mo,As,Rb,Cs,Ba,Sr,Ga,Ta,Nb,Hf,Zr,Y,Th,U,Be,Ag,Au,Bi,Cd,Hg,Sb,Se,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,ETR
Shos,Q-270,Quixaba,[11],57.75,15.41,9.75,8.77,0.16,1.26,4.27,3.83,4.3,1.1,0.52,1.17,,99.52,,,,,,,,,,,,,,78,,1760,347,24,,33,,687,46,5,,,,,,,,,,64.47,140.82,,63.66,12.53,3.49,10.34,,8.14,,4,,3.63,0.51,311.59
Shos,Q-273A,Quixaba,[11],57.85,15.76,8.76,7.88,0.11,1.7,4.19,3.79,4.65,1.41,0.68,0.61,,99.51,,,,,,,,,,,,,,113,,1531,464,23,,42,,564,42,9,,,,,,,,,,97.4,197.52,,86.08,15.7,3.24,11.56,,7.89,,3.64,,2.91,0.38,426.32
Shos,Q-328,Quixaba,[11],58.61,18.13,6.4,5.76,0.1,0.54,3.99,4.22,5.92,0.66,0.25,0.59,,99.41,,,,,,,,,,,,,,121,,2368,434,29,,31,,897,45,5,,,,,,,,,,50.92,104.1,14.12,61.08,12.67,4.34,10,1.56,8.79,1.84,4.55,0.62,4.19,0.65,279.43
Shos,Q-272A,Quixaba,[11],58.97,16.73,8.01,7.21,0.12,0.81,4.16,4.19,4.25,0.83,0.44,0.88,,99.39,,,,,,,,,,,,,,105,,2411,407,25,,27,,1000,40,7,,,,,,,,,,61.54,132.5,,59.37,11.7,3.61,9.24,,6.96,,3.59,,3.26,0.46,292.23
Shos,Q-331,Quixaba,[11],59.53,16.93,7.32,6.59,0.09,0.59,3.44,4.28,5.4,0.71,0.26,0.96,,99.51,,,,,,,,,,,,,,100,,1886,251,27,,32,,689,33,4,,,,,,,,,,41.05,86.49,11.41,50.69,10.8,3.89,8.06,1.25,6.92,1.36,3.32,0.47,3.26,0.51,229.48
Shos,Q-291B,Quixaba,[11],59.59,17.53,7.19,6.47,0.11,0.83,3.29,4.08,5.48,0.8,0.32,0.27,,99.49,,,,,,,,,,,,,,125,,2411,395,25,,31,,1000,33,7,,,,,,,,,,57.72,119.67,,52.09,9.87,3.55,8.4,,5.68,,2.86,,2.66,0.46,262.96
Shos,Q-293,Quixaba,[11],59.84,18.25,5.43,4.89,0.07,0.36,3.54,4.85,5.48,0.52,0.18,0.95,,99.47,,,,,,,,,,,,,,97,,1999,312,29,,25,,669,23,3,,,,,,,,,,37.17,72.5,8.8,34.98,7.13,4.06,5.69,0.82,4.59,0.96,2.44,0.34,2.39,0.39,182.26
Shos,Q-273.2,Quixaba,[11],60.41,17.58,5.16,4.64,0.05,0.81,2.99,4.19,6.57,0.63,0.21,0.9,,99.5,,,,,,,,,,,,,,149,,1698,374,28,,19,,740,35,7,,,,,,,,,,56.6,120.6,15.58,65.19,13.07,2.95,9.56,1.41,7.44,1.48,3.45,0.46,3.11,0.47,301.37
Shos,Q-325A,Quixaba,[11],53.07,16.61,10.81,9.73,0.14,2.45,5,4.04,3.9,1.81,1.08,0.57,,99.48,,,,,,,,,,,,,,88,,1881,614,23,,48,,437,39,7,,,,,,,,,,97.26,187.72,,76.53,13.89,3.69,10.18,,6.6,,2.98,,2.35,0.35,401.55
Shos,Q-327,Quixaba,[11],56.93,17.4,10.09,9.08,0.08,1.49,4.12,4.67,3.19,1.15,0.46,,,99.58,,,,,,,,,,,,,,132,,1348,436,,,19,,834,33,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,VC-637,Catolé do Rocha,[20],50.81,16.37,11.26,10.13,0.15,3.55,6.49,3.57,3.91,2.1,1.2,0.2,,99.61,,18.9,24.1,16,136,27.2,1.3,102,,,0.1,1.4,,112.6,0.9,1900.5,715.4,18.8,1.8,33.4,10.5,449.6,43.1,4.1,0.8,,,,,,,,,85,177.5,21.19,79.3,13.5,3.3,10.03,1.49,7.84,1.44,4.1,0.63,3.47,0.55,409.34
Shos,VC-639,Catolé do Rocha,[20],52.21,15.85,11.11,10,0.14,3.28,5.55,3.42,4.08,2.16,1.55,0.3,,99.65,,16.5,26.3,14,118,26.3,1.9,105,,,0.1,2.4,,148.4,1.4,2015.4,697,21.9,1.9,28.5,8.6,329.2,47.2,7.2,1.3,,,,,,,,,94.2,207.3,23.48,92.1,15.9,3.99,11.92,1.78,8.94,1.68,4.21,0.61,3.76,0.56,470.43
Shos,VC-640,Catolé do Rocha,[20],47.38,14.78,14.89,13.4,0.17,4.73,6.21,3.06,3.34,2.75,1.67,0.6,,99.58,,57.8,42.1,15,197,41.1,1.4,88,,,0.5,1.2,,99.3,1.1,2151.3,742.9,20.2,1.7,26.5,8.4,338,42.8,3.3,0.6,,,,,,,,,78.5,170.2,20.67,81,14.3,4,10.41,1.55,8.07,1.43,3.9,0.58,3.36,0.5,398.47
Shos,SL-06A,Serra do Lima,[11],52.87,15.8,12.59,11.33,0.15,3.03,5.74,3.44,3.11,2.53,0.73,0.41,,100.4,,,,,,,,,,,,,,106.7,,1420.8,616.7,,,28.1,,225.9,31.1,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,P-310C,Prado,[11],53.19,15.71,10.14,9.12,0.11,4.12,6.16,3.3,2.97,1.97,0.86,0.98,,99.51,,,,,,,,,,,,,,83,,1539,917,18,,26,,362,27,7,,,,,,,,,,80.1,157.59,,61.09,10.75,2.78,7.72,,4.77,,2.21,,1.83,0.27,329.11
Shos,P-308,Prado,[11],54.16,16.74,9.67,8.7,0,2.85,5.84,3.37,3.62,2.18,0.99,,,99.42,,,,,,,,,,,,,,115,,,1124,,,34,,497,44,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,P-269,Prado,[11],54.39,16.17,10.84,9.75,0,2.63,4.54,3.47,4.19,2.14,0.9,,,99.27,,,,,,,,,,,,,,103,,,820,,,28,,315,31,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,P-253,Prado,[11],54.61,15.83,11.22,10.1,0,4.23,6.15,2.7,2.96,2.45,0.9,,,101.05,,,,,,,,,,,,,,127,,,856,,,43,,302,29,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,P-311C,Prado,[11],57.89,15.61,8.21,7.39,0.08,2.29,5.08,3.62,3.5,1.58,0.85,0.79,,99.5,,,,,,,,,,,,,,138,,1566,825,18,,25,,316,23,11,,,,,,,,,,94.88,173.03,,64.87,11.06,2.8,7.47,,4.01,,1.76,,1.4,0.21,361.49
Shos,ED-156B,SJEspinharas,[14],50.87,15,12.19,10.97,0.14,5.01,7.75,3.9,1.86,1.47,0.45,0.99,,99.63,,63,40,23,196,79,,109,,,,,,40,,881,714,17,,15,,177,20,< 5.00,,,,,,,,,,35.35,78.48,,32.84,6.52,1.84,5.46,,3.7,,1.68,,1.22,0.19,167.28
Shos,MS-19D,SJEspinharas,[14],56.32,17.81,8.19,7.37,0.1,1.7,4.32,4.08,4.62,1.31,0.48,0.46,,99.39,,7,9,11,59,12,,97,,,,,,118,,2271,642,22,,29,,565,29,< 5.00,,,,,,,,,,58.56,124.63,,54.96,10.5,2.31,7.77,,5.98,,2.93,,2.31,0.37,270.32
Shos,MS-19A,SJEspinharas,[14],56.44,17.96,7.69,6.92,0.08,1.7,4.3,4.1,4.84,1.29,0.48,0.38,,99.26,,11,13,11,8,17,,94,,,,,,120,,2673,724,7,,13,,545,26,6,,,,,,,,,,71.62,139.03,,57.44,10.13,2.49,7.52,,5.4,,2.7,,2.11,0.32,298.76
Shos,MS-19F,SJEspinharas,[14],56.54,17.53,7.74,6.97,0.1,1.58,4.05,4.05,4.75,1.2,0.46,0.57,,98.57,,10,15,10,54,22,,96,,,,,,139,,2522,634,16,,26,,504,26,6,,,,,,,,,,62.02,130.44,,54.06,9.98,2.35,7.16,,5.34,,2.6,,2.09,0.4,276.44
Shos,ED-170,SJEspinharas,[14],56.65,17.39,8.08,7.27,0.08,1.7,4.37,3.95,4.51,1.27,0.59,0.79,,99.38,,5,10,11,69,36,,112,,,,,,141,,2434,691,20,,5,,328,35,< 5.00,,,,,,,,,,59.24,122.68,,52.54,10.52,2.79,8.15,,5.88,,2.81,,2.27,0.27,267.15
Shos,MS-19J,SJEspinharas,[14],57.02,17.71,7.75,6.97,0.1,1.58,4.19,4.14,4.84,1.25,0.48,0.59,,99.65,,9,8,11,51,22,,96,,,,,,133,,2480,646,18,,28,,508,28,5,,,,,,,,,,56.52,122.78,,53.98,10.25,2.41,7.52,,5.66,,2.78,,2.23,0.44,264.57
Shos,ED-169A,SJEspinharas,[14],58.79,16.38,8.05,7.24,0.07,1.77,3.5,3.74,4.37,1.26,0.59,0.93,,99.45,,14,8,10,84,36,,116,,,,,,113,,2108,656,20,,25,,422,25,10,,,,,,,,,,62.93,157.16,,53.76,10.38,2.42,7.41,,4.44,,1.96,,1.49,0.24,302.19
Shos,ED-174B,SJEspinharas,[14],62.28,16.53,5.49,4.94,0.04,1.18,2.87,4.05,4.91,0.8,0.4,0.89,,99.44,,12,7,3,66,29,,81,,,,,,146,,2148,650,15,,11,,431,19,17,,,,,,,,,,127.07,211.81,,71.54,10.9,2.48,6.78,,3.49,,1.69,,1.36,0.19,437.31
Shos,ED-164,SJEspinharas,[14],65.71,15.01,4.55,4.09,0.05,2.08,3.08,3.89,4.45,0.68,0.34,0.56,,100.4,,42,9,8,59,36,,86,,,,,,180,,1546,578,17,,12,,302,14,17,,,,,,,,,,101.71,156.92,,50.68,7.45,1.7,4.96,,2.52,,1.23,,0.95,0.15,328.27
Shos,RS2-20,SJEspinharas,[3],49.78,14.71,12.8,11.52,0.2,6.25,7.38,3.36,2.24,2.28,0.5,1.39,,100.89,10,,42,18,262,16,,113,,,,,2,84,2,846,564,54,2,37,7,321,49,4,1,,,,,,,,,45,86,,49,8,1,6,0.99,,,,0.37,2,0.28,198.64
Shos,RS2-18,SJEspinharas,[3],51.11,15.18,11.54,10.38,0.17,6.17,6.4,3.22,2.9,1.89,0.65,1.33,,100.56,22,6,,15,219,7,,91,,,,,,85,,1292,693,,,37,,307,37,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,RS2-116,SJEspinharas,[3],51.67,14.93,12.32,11.09,0.16,4.97,6.88,3.36,2.17,2.09,0.54,1.79,,100.88,14,,,16,241,14,,118,,,,,,49,,990,666,,,36,,336,44,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,RS2-25,SJEspinharas,[3],51.94,15.22,12.16,10.94,0.16,4.76,6.12,3.46,2.73,1.95,0.55,1.84,,100.89,16,,,1,209,17,,127,,,,,,84,,1186,777,,,37,,363,44,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,RS2-23,SJEspinharas,[3],51.95,15.04,12.5,11.25,0.19,5.02,6.96,3.28,2.27,2.11,0.55,1.04,,100.91,12,,,11,227,21,,118,,,,,,69,,988,640,,,39,,343,43,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,RS2-24,SJEspinharas,[3],52,15.32,11.9,10.71,0.17,4.89,6.5,3.65,2.74,2.11,0.6,0.98,,100.86,9,7,,10,218,10,,117,,,,,,90,,1114,814,,,40,,335,44,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,RS2-21,SJEspinharas,[3],52.14,14.57,11.89,10.7,0.22,5.38,6.68,3.43,2.27,2.07,0.51,1.41,,100.57,10,,41,18,235,17,,115,,,,,2,79,2,901,599,76,2,42,7,341,53,4,1,,,,,,,,,48,89,,48,8,2,6,0.93,,,,0.36,2,0.18,204.47
Shos,RS2-19,SJEspinharas,[3],52.49,14.8,12.22,11,0.21,5.12,5.94,3.41,2.83,2.03,0.71,0.93,,100.69,15,,,9,233,25,,124,,,,,,77,,1418,693,,,36,,347,37,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,RS2-115,SJEspinharas,[3],52.73,15.04,12.15,10.93,0.15,4.04,5.5,3.64,3.14,2.13,0.69,1.6,,100.81,4,,,10,218,14,,128,,,,,,82,,1469,811,,,44,,387,41,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,RS2-22,SJEspinharas,[3],52.75,15.07,11.94,10.74,0.18,4.57,6.5,3.41,2.39,2.03,0.54,1.54,,100.92,17,,37,18,229,10,,127,,,,,2,77,2,1137,695,59,2,39,7,364,44,4,1,,,,,,,,,51,90,,51,8,2,6,0.89,,,,0.31,2,0.16,211.36
Shos,RS3-53,SJEspinharas,[3],54.44,15.41,9.75,8.77,0.16,4.34,5.62,3.24,3.96,1.69,0.53,1.42,,100.56,10,,26,24,209,9,,96,,,,,2,131,1,1717,678,80,1,46,8,405,56,,1,,,,,,,,,75,136,,53,11,2,8,1,,,,0.49,3,0.37,289.86
Shos,RS3-55,SJEspinharas,[3],54.9,16.72,9.53,8.58,0.18,2.91,5.16,3.77,4.4,1.49,0.61,0.93,,100.6,,,,16,121,,,108,,,,,,116,,2309,384,,,46,,872,64,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,RS3-52,SJEspinharas,[3],55.94,15.48,9.19,8.27,0.18,4.12,5.24,3.23,4.06,1.58,0.51,1.02,,100.55,4,,,14,187,7,,95,,,,,,143,,1576,623,,,51,,402,62,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,RS3-54,SJEspinharas,[3],56.67,16.51,7.7,6.93,0.16,3.25,5.19,3.73,4.32,1.26,0.5,1.04,,100.33,27,,17,18,145,13,,99,,,,,2,131,2,2631,926,78,1,21,9,535,40,,1,,,,,,,,,100,94,,51,8,2,6,0.68,,,,0.28,2,0.23,264.19
Shos,RS3-65,SJEspinharas,[3],58.13,16.42,7.07,6.36,0.15,3.01,4.23,3.59,4.85,1.13,0.47,1.21,,100.26,22,,,9,125,7,,96,,,,,,137,,2405,704,,,19,,550,41,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,RS3-60,SJEspinharas,[3],60.12,14.93,6.64,5.98,0.16,3.88,4.37,3.23,4.44,0.96,0.36,1.09,,100.18,99,26,,14,120,,,90,,,,,,154,,1897,676,,,24,,481,46,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,RS3-62,SJEspinharas,[3],61.46,13.52,5.77,5.19,0.14,4.68,4.37,2.9,5.32,0.75,0.59,0.84,,100.34,152,50,19,15,116,5,,77,,,,,2,121,2,3118,1257,77,,10,8,438,41,,,,,,,,,,,48,86,,48,7,2,5,0.66,,,,0.24,2,0.22,199.12
Shos,114/B,SJEspinharas,[12],51.2,17,11.28,10.15,0.15,3.47,6.16,3.66,3.07,1.16,0.53,,0.72,98.4,,,,,,,,,,,,,,80,,1639,683,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,105/C,SJEspinharas,[12],53,16.4,10.57,9.51,0.16,3.23,5.68,3.93,3.86,1.92,0.62,,0.62,99.99,,,,,,,,,,,,,,125,,,657,,,,,284,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,82/C,SJEspinharas,[12],53.6,17.4,9.81,8.83,0.12,2.43,5.22,4,3.83,1.89,0.81,,0.21,99.32,,,,,,,,,,,,,,71,,2244,733,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,25/,SJEspinharas,[12],54.1,15.8,11.46,10.31,0.13,2.9,5.74,3.24,2.72,2.12,0.53,,0.7,99.44,,,,,,,,,,,,,,54,,1289,632,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,81/A,SJEspinharas,[12],54.3,17.9,8.1,7.29,0.11,4.81,7.22,3.24,2.09,0.56,0.18,,0.13,98.64,,,,,,,,,,,,,,87,,1477,455,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,33/A,SJEspinharas,[12],55.8,14.6,7.66,6.89,0.13,6.54,6.17,4,2.4,1.05,0.28,,0.15,98.78,,,,,,,,,,,,,,67,,1100,814,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,113/,SJEspinharas,[12],55.8,16.4,8.68,7.81,0.15,3.52,5.95,3.45,3.41,1.29,0.4,,0.48,99.53,,,,,,,,,,,,,,86,,1535,659,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,20/,SJEspinharas,[12],55.9,16.5,9.01,8.11,0.13,2.79,5.24,3.59,4.18,0.76,0.48,,0.4,98.98,,,,,,,,,,,,,,107,,1683,662,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,111/C,SJEspinharas,[12],56.2,14,11.33,10.2,0.2,2.59,5.93,2.28,3.07,2.13,0.83,,0.26,98.82,,,,,,,,,,,,,,75,,2047,402,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,162/,SJEspinharas,[12],56.2,17,9,8.1,0.16,2.45,5.88,4.21,2.41,1.71,0.49,,0.45,99.96,,,,,,,,,,,,,,69,,,721,,,,,505,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,ED59,SJSabugi,[14],48.32,16.21,14.64,13.17,0.1,4.42,8.89,3.11,1.21,1.64,0.24,0.87,,99.65,,14,68,24,652,87,,85,,,,,,29,,562,930,20,,5,,89,15,4,,,,,,,,,,21.88,47.96,,20.86,4.14,1.26,3.29,,2.54,,1.3,,1.08,0.16,104.47
Shos,ED66A,SJSabugi,[14],52.12,14.66,8.58,7.72,0.13,7.75,7.05,2.87,2.27,1.27,0.4,1.6,,98.7,,156,17,21,163,10,,185,,,,,,61,,1142,653,5,,11,,185,15,5,,,,,,,,,,39.73,79.7,,35.17,6.34,1.52,4.59,,3.14,,1.66,,1.23,0.21,173.29
Shos,ED151B,SJSabugi,[14],52.78,9.83,9.6,8.64,0.17,11.94,6.4,0.56,4.92,0.98,0.81,1.11,,99.1,,401,42,22,137,44,,108,,,,,,117,,4965,412,11,,12,,242,31,5,,,,,,,,,,51.17,123.03,,51.91,10.57,2.28,7.71,,5.35,,2.67,,2.21,0.31,257.21
Shos,ED65,SJSabugi,[14],53.5,16.06,8.48,7.63,0.12,5.37,6.58,3.39,2.54,1.2,0.51,0.78,,98.53,,889,20,19,158,46,,89,,,,,,81,,1475,870,7,,8,,145,20,6,,,,,,,,,,43.2,91.09,,40.33,7.83,1.82,5.53,,4.14,,2.17,,1.59,0,197.7
Shos,ED153,SJSabugi,[14],53.95,16.63,8.64,7.78,0.11,4.58,6.85,3.6,2.15,1.54,0.59,0.87,,99.51,,95,27,19,175,58,,90,,,,,,45,,1359,889,18,,15,,286,23,4,,,,,,,,,,44.7,108.54,,39.14,7.77,2.35,6.22,,3.86,,2.03,,1.63,0.25,216.49
